,ユーザー名,ユーザーID,リツイート数,いいね数,日時,本文
0,おるを,oluw0,0,2,2021-03-02-14:59:39,pythonの勉強も実はしてるんだけど、仕事にするとなるとあと1年くらい勉強して仕事に使うにおいての基礎レベルができあがる、ぐらいなんだろうな。ひえ…
1,ベナオPythonプログラミングnote,benao_python,1,8,2021-03-02-14:57:12,最近ただ好きでやってきたニッチでバズる要素が皆無なことがお金になり始めてるので確変モードの気配がある
2,ぺで@放送大学と勉強,OujPede,0,5,2021-03-02-14:56:33,第4章エントリー編読了。エントリーレベルの問題を解くためのごく限定的なPythonの文法、リストのソート、スライス記法など。 『アルゴリズム実技検定　公式テキスト［エントリー～中級編］』 1時間 34ページ https://t.co/gT6L681Kli #studyplus
3,おさ@Web制作,LP_goodspeed,1,12,2021-03-02-14:56:10,今日の学習1/3Pythonの学習も😊おさないさんのUdemyで❗(@YorozuyaOsanai)Progate、Lesson1終わり😊いつから難しくなるか怖いけど…私には、おさない師匠がいる❗うん❗(勝手に師匠にしたのは…🤐)#プログラミング#駆け出しエンジニアと繋がりたい#Python https://t.co/d3fTcJ15bI
4,ぱいそん,python_0909,0,1,2021-03-02-14:55:48,@Midnight_KATZE 僕らはみんな河合荘
5,点p《Pythonで勉強中》,TemP_10P,0,7,2021-03-02-14:55:37,Pythonでプログラミング計画46日目今日は部活の技術班で『マーケティング会議』というものをしました！👍😊内容としては、自分たちの部活(サッカー部)を活性化させるためにどうしたらいいのかを議論しながら深めました！今回が第一回で毎週火曜にしていきます！🔥😁#Python #プログラミング初心者 https://t.co/RfLEiYpZai
6,ぼんじん△,bonjinra,0,1,2021-03-02-14:54:58,@yu_to_python ひどい人になるとホワイトボード買って先生の講義のような形勉強する人もいるそうてますね。聞いた話です。
7,ruby&rails初心者@駆け出しエンジニアと繋がりたい,vetlanprogramer,0,11,2021-03-02-14:54:53,RubyなんてやるとiOTの仕事に就けないぞ。素直にC#やPythonやっておけ　仕事枠ないぞ　給料安いぞ　大手に就職できないぞ　早く学びなおしたほうがいい 97   #駆け出しエンジニアと繋がりたい
8,s-dual🥟,s_dual,2,6,2021-03-02-14:52:14,Pythonのバージョン切り替えが出来なくなったのでオワリ
9,ゆーと@プログラマー,yu_to_python,0,1,2021-03-02-14:51:45,@how_to_study_ 自分マジで買っていいですか？
10,スーツ仮面浪人,mr_agu213,0,3,2021-03-02-14:51:23,受かったら独学かオンライン学習でpythonガチろう大学で制御工学勉強して二つくっつければ仕事でも趣味でもやりたいことできる
11,かぴん@ITベンチャー1年生,capin89141804,0,12,2021-03-02-14:50:55,途中3ヶ月やってなかった期間除いて、もうすぐプログラミング初めて9ヶ月、入社後4ヶ月。やっと研修から実務に片足を入れさせてもらえることに！PaizaのPython講座やProgateのHTML/CSSから始めた時の楽しさは今でも忘れません✨まずは同期に追いつくべく、頑張ります。
12,"高井茅乃🇸🇱IQ134Vtuber(sd15,WAIS3)",takaichino,0,1,2021-03-02-14:49:57,PAST本持っている人だけを対象に、本を読みながら(内容は公開せず、読んでいるページ数だけを公開して)問題を解いていく配信とかしてみたいですね。高井はPython書いたことないんですけど、できるかな？ https://t.co/4B9csbbFIj
13,iceE\いっちー,iceE1591,0,6,2021-03-02-14:48:53,"#今日の積み上げ - 黒本1,4章復習- 黒本6章- 少しだけPython書いた#もくもくオンライン勉強会 [ 2021-03-02の勉強時間 ]---&gt; 3時間30分#mo9mo9_いっちー https://t.co/MivseAdtSU"
14,kotamat | ROXX CTO,kotamats,0,2,2021-03-02-14:48:04,久しぶりにpythonで分析したので書き方だいぶ忘れてしまってた
15,Kawaii BOT,KawaiiBOTz,0,1,2021-03-02-14:47:47,@KawaiiBOTz Source found on Pixiv!Similarity: 95.68%Title: 【艦これ】Burning...Love！【金剛＆榛名】Author: 遊月ひなhttps://t.co/kj3eKzaKl3Source found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !
16,小田周弥,wPEn7ok5n8NrtwS,0,1,2021-03-02-14:46:05,@just_python いつも勉強させて頂いています!
17,くれんでぶろーる@宅地建物取引士,clenbuteroldiet,0,10,2021-03-02-14:44:48,「Python 学習コース III」コースを修了しました！ https://t.co/3WcVucVdMI #Progate ふう...
18,ゆーと@プログラマー,yu_to_python,0,1,2021-03-02-14:42:24,人に教えるってやっぱりめっちゃ頭に入っていいな
19,ちさと(快便ちゃん),python_lady,0,1,2021-03-02-14:42:23,@n95B2u7eD5yEz38 ビールが一番好きです✨
20,ぷんたむ,punhundon,1,8,2021-03-02-14:41:49,pythonでプログラム書いてデータ分析をする時、意識がプログラムの構文に向いてしまって、肝心のデータ分析そのものや考察が疎かになること、よくある。その点、ノンコードの方がいいのかも。
21,mat,ballforest,0,1,2021-03-02-14:41:04,紹介されているトピックをPythonなどで再実装するのはセミナの課題として良いかも
22,ふぁ,faa0311,0,12,2021-03-02-14:40:15,最近ずっとPython書いてて頭おかしくなりそう
23,ちさと(快便ちゃん),python_lady,0,1,2021-03-02-14:39:53,@7Toshiaki 🙋‍♀️🙋‍♀️🙋‍♀️笑
24,s-dual🥟,s_dual,0,2,2021-03-02-14:39:43,ローカルのPython環境がお壊れになった
25,堺,sakainnu,0,2,2021-03-02-14:39:41,#今日の積み上げ　2日目・Python　144→278p(全351p)予定より早く明日には一周できそうなので、明日は本屋で2冊目を購入予定。
26,がっち,Ryogatch,0,2,2021-03-02-14:39:07,Pythonで大量データ処理するときに、メモリが限界を迎えて計算が止まることに困って対処方法をググったら、このページはメモリ不足で表示できませんと出てきて面食らってしまった。メモリ大事。
27,ちさと(快便ちゃん),python_lady,0,1,2021-03-02-14:38:34,@taka93971859 ほろ苦さがクセになりますね♪
28,takumiiimo,takumiiimo,0,11,2021-03-02-14:38:28,Day:313 作業時間:2.0h「Effetive Python」著書 Brett Slakinleetcode #069　　#駆け出しエンジニアと繋がりたい
29,颯(マイン),Hayate11223,0,2,2021-03-02-14:38:16,[python練習]#day21githubリンクhttps://t.co/TMeHRCZeL1こんな詰まるかってくらい環境構築で詰まった、、これからはexeファイルを消すんじゃなくて、コンパネのプログラムからちゃんとアンインストールすることにするhttps://t.co/fShHtRcRdLが仮想環境上でインストールできないのも謎のまま
30,Junico02@ヴィーガン生活,Sorato_J_Kiryu,0,2,2021-03-02-14:37:47,python勉強中、、にしても汎用性すごいな普段は金融システムでCOBOLばっかりだから、驚きが色々、、笑
31,Qiita_Python,qiita_python,0,2,2021-03-02-14:35:54,BoW / BoVW(bag of visual words)について理解する - https://t.co/iu1amLIFqj
32,shin,dev_shin35,0,1,2021-03-02-14:34:59,APIの動作確認にはInsomnia使ってるんだけど、めっちゃ快適。curlで試すとかとかPythonでスクリプト組むとか、そんなので凌ぐ必要なかったわ。
33,nao＠bot開発受付中（Go or Python）,naokits,0,1,2021-03-02-14:33:35,躍らせられてるだけもきがするが。。https://t.co/a635KBZgPZ
34,ｷﾞﾛﾁﾝ,ShiShiRuiRui461,0,2,2021-03-02-14:33:18,卒業式までにPythonを触れるようにするぞ〜。
35,ハチ,hanaukyomaidcor,0,2,2021-03-02-14:32:43,@Pitbull_Python @Tavo31188728 地元の同世代からはバーサーカーとか言われてましたけど実際は私より背も低く体も細いんで、みんな見た目に騙されるんです_:(´ `」 ∠):_ https://t.co/lxi06FWlnV
36,taka,taka93971859,0,1,2021-03-02-14:32:07,@python_lady ね、村祐さんはちょいフルーティーな感じですよね☆
37,たこぱいそん,python_octopus,0,6,2021-03-02-14:30:55,紙の本買うか。
38,たこぱいそん,python_octopus,0,10,2021-03-02-14:30:43,ザ・ファブルぜひ読んでみてください。私はいつの間にかマガポケに3000以上課金しちゃってた。
39,たくみち＠ダイエット中🏃,takumchi,2,5,2021-03-02-14:30:28,"#今日の積み上げ === #運動 ===Run 5.64km  34:09 6:03/kmWalk 6.33km腹筋ローラー 膝15回 === #学習 ===Python #100DaysOfCode 【Day41】・ #AtCoder ABC1-22,40-64AABCのA問題を一気にバーッと解きました。また明日♪Sweet dreams💤"
40,Tony@毎日勉強×行動するサラリーマン,takapy999,1,3,2021-03-02-14:30:27,"Udemyでセールやってたから買っちゃった👇現役シリコンバレーエンジニアが教えるPython 3 入門 + 応用 +アメリカのシリコンバレー流コードスタイル24,000円が1,680円になってたけど、今見たら1,760円。なんでだろ？#Python"
41,たこぱいそん,python_octopus,0,5,2021-03-02-14:29:03,いやー、普段なら読まないジャンルなんですけどハマっちゃいましたねぇ。
42,たこぱいそん,python_octopus,0,4,2021-03-02-14:28:09,そう、これなんですよね。漫画だけど映像作品って感じ。
43,./りんこﾞテﾞ二 ｯシ ｭ,RingoPastry0731,0,2,2021-03-02-14:27:30,Windows版VimのPythonインターフェースが有効化できない問題、どうもVimがコンパイルされた時のPythonバージョンの時のdllファイルが必要らしくて無限に面倒な表情している
44,もけ,r193333333,0,3,2021-03-02-14:27:13,今日は snippet generator を python で実装して、無事ライブラリを移行することに成功したよ
45,Kindle本セール - 電子書籍値下げチェッカー,ebook_checker,0,2,2021-03-02-14:27:02,【人気！】カテゴリー： プログラミング「ゲームを作りながら楽しく学べるPythonプログラミング (Future Coders（NextPublishing）)」44%OFF 817円https://t.co/4G7KubHwsZ
46,ZGMF-X-2OA,2oaZgmf,0,1,2021-03-02-14:26:34,@python_lady 自分の地元のすず音　日本酒のスパークリングも　良かったら1度　ご賞味下さい😊
47,うにだよ✴︎🦀⌨️,u2dayo,0,2,2021-03-02-14:24:32,"問題が簡単だったから全部書きなおしてもすぐ終わった【AtCoder解説】PythonでABC164のA, B, C問題を制する ！ https://t.co/e6VNYTUhR0"
48,たこぱいそん,python_octopus,0,4,2021-03-02-14:24:09,いや違うんです。ほんと自然なんですよね。
49,たこぱいそん,python_octopus,0,3,2021-03-02-14:23:38,モノローグ見た覚え全くないって言って1話読み返して1p目で爆笑している。記憶力雑魚か？
50,To,7Toshiaki,0,1,2021-03-02-14:23:35,@python_lady 美味しいからって呑み過ぎ注意ですよ☺️
51,アキラ@ポケ柱,s_megared,0,1,2021-03-02-14:23:32,@python_lady 乾杯❗️
52,jun50@東方MMDer？,jun50_python,0,1,2021-03-02-14:22:58,ぼくのメアド、ほとんどjun50とか入ってるのでそろそろ新しいリアル用のメアド作りたい
53,鼓音,k0t0nOheya2,0,1,2021-03-02-14:22:48,@python_lady ちさとさんちも🥺お互い、来年こそは出しましょ💦明日、箱の蓋だけ開けてみます。
54,ちさと(快便ちゃん),python_lady,0,3,2021-03-02-14:21:18,@k0t0nOheya2 ここ数年出してないっす🤦‍♀️来年は出してあげたいと思ってる🙇‍♀️🙇‍♀️🙇‍♀️
55,タカ,n95B2u7eD5yEz38,0,1,2021-03-02-14:20:36,@python_lady 美味しそう^_^お酒好きなんですね。私も大好き
56,iruca(勉強休憩中)勉強しろbot中の人,iruca_bb,0,7,2021-03-02-14:20:04,javaとかc#は勉強しろbotができるより前にちょっとやってたけどPythonをいじるようになったのは勉強しろbotがきっかけかなPythonいじるっていってもTwitterAPI関連のことだけだけど
57,立花慶人,y0_sh1z0_CLOTO,0,1,2021-03-02-14:19:22,@koooo_python @cloto_jp 本日もあと少し！頑張りましょう💪😭
58,ちさと(快便ちゃん),python_lady,0,202,2021-03-02-14:19:03,甘辛くて苦くてフルーティな味わいの「村祐」美味し♡ https://t.co/3AoPQMYFZB
59,楽園🇯🇵（FX）,rakuen7220FX,0,2,2021-03-02-14:18:33,@Python_oyaji そうなんです。普通は怖くて貝になります。だから謙虚に億の資産がありますと言いながら心の何処かで他人に良く見られようという気持ちがあるんですよ。資産を人に知られるなんてリスクしか無いから普通の人は言わない。
60,たこぱいそん,python_octopus,0,1,2021-03-02-14:17:36,それだ。それですわ。一番難しいんすよそれを漫画でやるの。
61,クリムゾン三四郎 【40代・氷河期世代 × コロナ失業 × エンジニアに挑戦】,crimson_346,0,9,2021-03-02-14:17:16,Python、Go、Git終了～。さぁ、最後はHTML&amp;CSS道場だ。2万円で買った中古Surfaceのおかげでサクサク進んだぞ(苦笑#Progate#プログラミング初心者と繋がりたい #エンジニアと繋がりたい
62,たこぱいそん,python_octopus,0,1,2021-03-02-14:17:06,あー！！そう、モノローグ見た覚え全くないすね。説明くさいセリフも一切無さそうだった。
63,Asamin,_Z_E_R_O_999,0,3,2021-03-02-14:15:34,@kk_programming いえ、とんでもないです。ExcelVBA（そもそもExcel）を使っている所は非常に多く、ニーズもまだまだあると思っています。なので、難しい言語より、はるかに使いやすくて、汎用性も高い。なにしろ重宝されるので、少しずつ覚えていこうと思います。（今だと、＋Pythonで効率化が流行り？）
